STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; STRUKTUR_VERSION; STUNDENSUMME_SONNENSCHEIN;eor
  2667;2014110511;  10;  37;  0.00;eor
  2667;2014110512;  10;  37;  0.00;eor
  2667;2014110513;  10;  37;  0.00;eor
  2667;2014110514;  10;  37;  0.00;eor
  2667;2014110515;  10;  37;  0.00;eor
  2667;2014110516;  10;  37;  0.00;eor
  2667;2014110517;  10;  37;  0.00;eor
  2667;2014110518;  10;  37;  0.00;eor
  2667;2014110519;  10;  37;  0.00;eor
  2667;2014110520;  10;  37;  0.00;eor
  2667;2014110603;  10;  37;  0.00;eor
  2667;2014110604;  10;  37;  0.00;eor
  2667;2014110605;  10;  37;  0.00;eor
  2667;2014110606;  10;  37;  0.00;eor
  2667;2014110607;  10;  37;  0.00;eor
  2667;2014110608;  10;  37; 10.00;eor
  2667;2014110609;  10;  37;  0.00;eor
  2667;2014110610;  10;  37; 39.00;eor
  2667;2014110611;  10;  37; 31.00;eor
  2667;2014110612;  10;  37; 26.00;eor
  2667;2014110613;  10;  37; 11.00;eor
  2667;2014110614;  10;  37;  3.00;eor
  2667;2014110615;  10;  37; 39.00;eor
  2667;2014110616;  10;  37;  8.00;eor
  2667;2014110617;  10;  37;  0.00;eor
  2667;2014110618;  10;  37;  0.00;eor
  2667;2014110619;  10;  37;  0.00;eor
  2667;2014110620;  10;  37;  0.00;eor
  2667;2014110703;  10;  37;  0.00;eor
  2667;2014110704;  10;  37;  0.00;eor
  2667;2014110705;  10;  37;  0.00;eor
  2667;2014110706;  10;  37;  0.00;eor
  2667;2014110707;  10;  37;  0.00;eor
  2667;2014110708;  10;  37; 30.00;eor
  2667;2014110709;  10;  37; 19.00;eor
  2667;2014110710;  10;  37;  0.00;eor
  2667;2014110711;  10;  37;  0.00;eor
  2667;2014110712;  10;  37;  0.00;eor
  2667;2014110713;  10;  37;  0.00;eor
  2667;2014110714;  10;  37;  0.00;eor
  2667;2014110715;  10;  37;  0.00;eor
  2667;2014110716;  10;  37;  0.00;eor
  2667;2014110717;  10;  37;  0.00;eor
  2667;2014110718;  10;  37;  0.00;eor
  2667;2014110719;  10;  37;  0.00;eor
  2667;2014110720;  10;  37;  0.00;eor
  2667;2014110803;  10;  37;  0.00;eor
  2667;2014110804;  10;  37;  0.00;eor
  2667;2014110805;  10;  37;  0.00;eor
  2667;2014110806;  10;  37;  0.00;eor
  2667;2014110807;  10;  37;  0.00;eor
  2667;2014110808;  10;  37; 30.00;eor
  2667;2014110809;  10;  37; 60.00;eor
  2667;2014110810;  10;  37; 60.00;eor
  2667;2014110811;  10;  37; 58.00;eor
  2667;2014110812;  10;  37; 38.00;eor
  2667;2014110813;  10;  37; 48.00;eor
  2667;2014110814;  10;  37; 32.00;eor
  2667;2014110815;  10;  37; 45.00;eor
  2667;2014110816;  10;  37;  8.00;eor
  2667;2014110817;  10;  37;  0.00;eor
  2667;2014110818;  10;  37;  0.00;eor
  2667;2014110819;  10;  37;  0.00;eor
  2667;2014110820;  10;  37;  0.00;eor
  2667;2014110903;  10;  37;  0.00;eor
  2667;2014110904;  10;  37;  0.00;eor
  2667;2014110905;  10;  37;  0.00;eor
  2667;2014110906;  10;  37;  0.00;eor
  2667;2014110907;  10;  37;  0.00;eor
  2667;2014110908;  10;  37;  0.00;eor
  2667;2014110909;  10;  37; 36.00;eor
  2667;2014110910;  10;  37; 37.00;eor
  2667;2014110911;  10;  37; 39.00;eor
  2667;2014110912;  10;  37; 55.00;eor
  2667;2014110913;  10;  37; 25.00;eor
  2667;2014110914;  10;  37;  0.00;eor
  2667;2014110915;  10;  37;  0.00;eor
  2667;2014110916;  10;  37;  0.00;eor
  2667;2014110917;  10;  37;  0.00;eor
  2667;2014110918;  10;  37;  0.00;eor
  2667;2014110919;  10;  37;  0.00;eor
